function,n_dim,sigma,a,run,seed,f_best,evals,time_s
Rosenbrock,30,0.1,100,3,1003,28.28272627204802,3001,0.03788280487060547
Rosenbrock,30,0.1,100,4,1004,28.8877117901815,3001,0.038902997970581055
Rosenbrock,30,0.1,100,5,1005,33.90380394381315,3001,0.0393071174621582
Rosenbrock,30,0.1,100,6,1006,29.21108771465038,3001,0.039646148681640625
Rosenbrock,30,0.1,100,7,1007,854.3782120164313,1017,0.013997077941894531
Rosenbrock,30,0.1,100,8,1008,26.055764991063874,3001,0.04300999641418457
Rosenbrock,30,0.1,100,9,1009,28.739775043466206,3001,0.05003523826599121
Rosenbrock,30,1.0,10,0,1000,181.4459052440615,3001,0.044200897216796875
Rosenbrock,30,1.0,10,1,1001,26.52906174423889,3001,0.039090633392333984
Rosenbrock,30,1.0,10,2,1002,28.145472830991253,3001,0.04091310501098633
Rosenbrock,30,1.0,10,3,1003,109.57625349303356,3001,0.04152107238769531
Rosenbrock,30,1.0,10,4,1004,27.073140613496648,3001,0.04400038719177246
Rosenbrock,30,1.0,10,5,1005,704.4022407918118,3001,0.043548583984375
Rosenbrock,30,1.0,10,6,1006,89.92736016036905,3001,0.05200695991516113
Rosenbrock,30,1.0,10,7,1007,79.55724520607762,3001,0.0637049674987793
Rosenbrock,30,1.0,10,8,1008,25.774526616836766,3001,0.06634259223937988
Rosenbrock,30,1.0,10,9,1009,29.35043917218453,3001,0.05656266212463379
Rosenbrock,30,1.0,100,0,1000,2662.849796809638,659,0.00999760627746582
Rosenbrock,30,1.0,100,1,1001,21.161534079431863,3001,0.04651474952697754
Rosenbrock,30,1.0,100,2,1002,27.849313045959345,3001,0.05400276184082031
Rosenbrock,30,1.0,100,3,1003,59.654338752450315,3001,0.05555534362792969
Rosenbrock,30,1.0,100,4,1004,29.426382701915173,3001,0.04813218116760254
Rosenbrock,30,1.0,100,5,1005,826.1374810486326,3001,0.04802536964416504
Rosenbrock,30,1.0,100,6,1006,29.380194172528814,3001,0.040000200271606445
